MS,MS Name,CCI,Ver,Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
AT,Austria,2014AT05SFOP001,1.3,Employment Austria - ESF,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"52,000,000.00","52,000,000.00","104,000,000.00",50%
AT,Austria,2014AT05SFOP001,1.3,Employment Austria - ESF,ESF,2,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"135,000,000.00","135,000,000.00","270,000,000.00",50%
AT,Austria,2014AT05SFOP001,1.3,Employment Austria - ESF,ESF,3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"205,000,000.00","205,000,000.00","410,000,000.00",50%
AT,Austria,2014AT05SFOP001,1.3,Employment Austria - ESF,ESF,4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,"6,448,374.00","4,298,916.00","10,747,290.00",60%
AT,Austria,2014AT05SFOP001,1.3,Employment Austria - ESF,ESF,4,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"14,697,349.00","9,798,233.00","24,495,582.00",60%
AT,Austria,2014AT05SFOP001,1.3,Employment Austria - ESF,ESF,4,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,"2,642,139.00","1,761,426.00","4,403,565.00",60%
AT,Austria,2014AT05SFOP001,1.3,Employment Austria - ESF,ESF,5,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"24,781,119.00","24,781,119.00","49,562,238.00",50%
AT,Austria,2014AT05SFOP001,1.3,Employment Austria - ESF,ESF,5,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"1,518,372.00","1,012,248.00","2,530,620.00",60%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,"114,298,533.00","116,934,590.61","231,233,123.61",49.43%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2A,Farm performance,"3,727,951.00","3,622,048.77","7,349,999.77",50.72%
