name_link,name_link-href,former_employer_text,former_function_text,new_function_text,new_employer_text,policy_area_text,date_of_revovlivng_door_text,institutional_reaction,other_info,page,page-href
"Petra Erler","https://corporateeurope.org/revolvingdoorwatch/cases/petra-erler","DG Enterprise","Head of Cabinet, Commissioner Verheugen (for 4 years)","Managing Director","European Experience Company","Business/Industry","April, 2010","""We take note of ... your undertaking to exclude any form of lobbying of the Commission in the course of this new activity. The Commission is pleased to authorise this activity, in the light of your undertaking, but subject to further conditions that, for a period of eighteen months as from this decision: you will not in the course of your new professional activities, establish contacts with or approach the services that came under the authority of Vice-President Verheugen or any of your former colleagues who were members of his cabinet; you will not advise companies who have been addressees or beneficiaries of any indivdual decision prepared by those services under the authority of Vice-President Verheugen”. The Commission continues to ""have the right to apply Article 16 ex post to any situation in which it considers that there is a risk for the legitimate interests of the Institution"".","In 2010, both Dr Erler and Commissioner Verheugen left the Commission and in April 2010 set up the European Experience Company (EEC) which apparently offers “creative solutions and the best strategy for your success in dealing with European institutions”. Erler is listed as managing director, Verheugen is a 50 per cent shareholder.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Joe Borg","https://corporateeurope.org/revolvingdoorwatch/cases/joe-borg","European Commission","Commissioner for maritime affairs and fisheries","Special advisor","Fipra","Maritime affairs","August, 2010","The Commission authorised Dr Borg’s proposed move to Fipra with the condition that he did not provide advice on integrated maritime policy or the common fisheries policy. This case was not referred to the ad hoc ethical committee which usually advises on such matters, as the Commission accepted Dr Borg’s commitment to not work on issues related to his former portfolio. The Commission also authorised his request to work at the University of Malta.","Dr Joe Borg was appointed as a part-time special adviser to Fipra, one of Brussels’ biggest lobby firms, in 2010.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Peter Faross","https://corporateeurope.org/revolvingdoorwatch/cases/peter-faross","DG Energy","Acting deputy director general","Secretary-general + adviser","UEAPME (Union Européenne de l’Artisanat et des Petites et Moyennes Entreprises) + Kaesler & Kollegen","General","January, 2014","The commission authorised Peter Faross to become secretary-general of UEAPME on the understanding that for 12 months following his appointment he would not undertake any lobbying on energy matters vis a vis his former colleagues.","Peter Faross worked for the European commission for over 30 years, and most recently “since 2008... [he was] Director of the ""Nuclear Safety and Fuel Cycle"" Directorate in Luxemburg and acting Deputy Director General for ""Nuclear Energy"" since 2010”. He retired from the commission in September 2013 and was then elected as secretary-general of UEAPME later that year.","",""
"Günter Verheugen","https://corporateeurope.org/revolvingdoorwatch/cases/g-nter-verheugen","European Commission","Commissioner for enterprise and industry","Non-executive managing director (unpaid) and 50 per cent shareholder","European Experience Company + roles at RBS Germany, FleishmanHillard and others","General","April, 2010","Verheugen failed to inform the Commission about the setting up of the European Experience Company (EEC) as he was required to do by the then code of conduct for commissioners. When his involvement with the EEC was uncovered by the German weekly newspaper Wirtschaftswoche in August 2010, Verheugen explained that this did not constitute a paid job, despite the fact that he owned half the shares in the company and so could benefit from his position. Verheugen disregarded the fact that the Commission had explicitly asked him to inform it about any planned activities early in advance.","In April 2010, Verheugen founded the European Experience Company (EEC), a new consultancy firm, alongside his former head of cabinet Petra Erler who also features on RevolvingDoorWatch. Verheugen is an (unpaid) managing director of this firm but holds 50 per cent of the shares. In 2011 (the most recent year for which figures are available), the EEC posted a profit of approximately €135,000.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Martin Bresson","https://corporateeurope.org/revolvingdoorwatch/cases/martin-bresson","Permanent Representation of Denmark","Counsellor on financial services during the Danish Presidency of the EU","Senior Policy Adviser to the financial services practice","Fleishman-Hillard","Finance","September, 2012","The Permanent Representations of European Union Member States are not covered by the revolving door rules in the Staff Regulations (which pertain to staff of any of the institutions of the Communities – the European Economic Community and the European Atomic Energy Community). So Martin Bresson did not face any restrictions when leaving the Danish perm rep to start as a financial services lobbyist at Fleishman-Hillard, because under Danish law no institutions of public office have restrictions on professional commitments or holding posts after leaving office. Nonetheless, as a public official working for the public interest at EU level policy-making, the same revolving door concerns arise as with EU institution officials, even though there is no EU-wide regulation covering them.","The Head of Financial Services at Fleishman-Hillard, Donald Ricketts, said of Bresson's appointment that “His international perspective and deep understanding of the challenges facing policy-makers and industry alike set him apart.”","",""
"Isabel Ortiz","https://corporateeurope.org/isabel-ortiz","DG Enterprise and Industry","Policy Officer, Food Industry Unit (for 3 years)","Director of Consumer Information, Diet and Health","FoodDrinkEurope (Confederation of Food and Drink Industries of the EU)","Food","March, 2011","""Ms Ortiz does not need an authorisation... Ms Ortiz has not had access to sensitive information during her time in the European Commission"".","At the Commission, Ms. Ortiz worked to ""ensure competitiveness of the industry by following legislative draft proposals from DG SANCO as well as feeding into the work of the High Level Group on the Competitiveness of the Agro-Food Industry and Forum for the Better Functioning Food Supply Chain"".

It is understood that Ms Ortiz has now left FoodDrinkEurope (March 2012). 

(Source: European Agenda).","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Derek Taylor","https://corporateeurope.org/revolvingdoorwatch/cases/derek-taylor","DG Transport and Energy","Energy adviser","Adviser on energy issues","Burson-Marsteller (lobby consultancy) + others","Energy/Climate","August, 2009","""I regret that you have not introduced your request for authorisation in accordance with the provisions of Article 16 of the Staff Regulations. Nevertheless, despite the late introduction of your request, I can inform you that the Appointing Authority, as from the date of this decision, gives you its approval to carry out this activity, as described in your request"".","Mr Taylor's request for authorisation to set up a consultancy called DMT Energy was submitted more than two years after the company was created. It has had longterm contracts with Bellona Europe, Burson-Marsteller, and the Global Carbon Capture and Storage Institute. The Commission has not provided any evidence that Derek Taylor was directly reminded, before September 2011, about his obligations under the revolving door rules.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Eline Post","https://corporateeurope.org/revolvingdoorwatch/cases/eline-post","DG Competition","Case handler (since 2005)","Senior consultant on competition","Avisa Partners","Competition","December, 2010","“The Appointing Authority gives you its approval to carry out this activity, as described in your request, on condition that you will avoid any situation of conflicts of interest in your new function, particularly you will abstain from dealing with cases on which you have worked in the frame of your functions at DG Comp, and more particularly on the cases listed in the attachment”.","Avisa Partners has declared to CEO that Ms Post has not and will not work on any case she dealt with while at DG Competition.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Piia-Noora Kauppi","https://corporateeurope.org/revolvingdoorwatch/cases/piia-noora-kauppi","European Parliament","Member of European Parliament (for 9 years)","Managing director","Federation of Finnish Financial Services (+ now Chair of European Banking Federation)","Finance","January, 2009","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent professional activities.","While an MEP for nine years, Kauppi focused on the work of the economic and monetary affairs (ECON) committee, notably financial market legislation. She was rapporteur on several banking-related legislative dossiers such as markets in financial instruments (MiFiD) and on settlement finality in payment and securities settlement systems (SFD) and the directive on financial collateral arrangements (FCD). She was also chairwoman of the European Parliamentary Financial Services Forum which is funded by the finance industry; as a result, Kauppi was “actively involved in dialogue between EU bodies and financial service providers”.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Jean De Ruyt","https://corporateeurope.org/revolvingdoorwatch/cases/jean-de-ruyt","Belgium Permanent Representation to the EU","Permanent Representative + Chair of the Committee of Perm Reps, 2010 Belgian Presidency of the Council","Senior European policy advisor","Covington & Burling LLP","Trade","January, 2012","None. As a former Belgian diplomat, Jean De Ruyt is not subject to the EU revolving door rules.","Jean De Ruyt is a former Belgian diplomat. He was Belgium's Permanent Representative to the EU and Chair of the Committee of Permanent Representatives during the 2010 Belgian Presidency of the Council. He then spent four months until January 2012 working as Special Envoy to Catherine Ashton, the EU's then high representative for Foreign Affairs. In a long career, he was also Permanent Representative of Belgium to the UN, to NATO and also Deputy Chief of Mission in Washington for 14 years. Following his retirement from diplomatic circles, De Ruyt joined Covington & Burling LLP, an international law firm with a major office in Brussels.","",""
